  PID  PPID  %CPU    RSS COMM
 1308     1   0.0  36000 /System/Library/CoreServices/ControlCenter.app/Contents/MacOS/ControlCenter
 1321     1   0.0  16688 /System/Library/CoreServices/WindowManager.app/Contents/MacOS/WindowManager
 1322     1   0.0  15008 /System/Library/CoreServices/NotificationCenter.app/Contents/MacOS/NotificationCenter
 1323     1   0.0   1552 /usr/sbin/distnoted
 1327     1   0.0  17120 /System/Library/PrivateFrameworks/ChronoCore.framework/Support/chronod
 1331     1   0.0   4624 /System/Library/PrivateFrameworks/ViewBridge.framework/Versions/A/XPCServices/ViewBridgeAuxiliary.xpc/Contents/MacOS/ViewBridgeAuxiliary
 1336     1   0.0   8816 /System/Library/Frameworks/CoreServices.framework/Versions/A/Frameworks/Metadata.framework/Versions/A/Support/mdbulkimport
 1462     1   0.0   7056 /System/Library/PrivateFrameworks/CoreSpeech.framework/corespeechd
 1480     1   0.0   4096 /System/Library/PrivateFrameworks/CloudDocs.framework/PlugIns/com.apple.CloudDocs.iCloudDriveFileProvider.appex/Contents/MacOS/com.apple.CloudDocs.iCloudDriveFileProvider
 1491     1   0.0   4544 /System/Library/Frameworks/ApplicationServices.framework/Frameworks/ATS.framework/Support/fontd
 1500     1   0.0   2192 /System/Library/Frameworks/ApplicationServices.framework/Versions/A/Frameworks/ATS.framework/Versions/A/Support/fontworker
 1503     1   0.0   7728 /System/Library/PrivateFrameworks/StatusKit.framework/StatusKitAgent
 1504     1   0.0   4848 /System/Applications/Shortcuts.app/Contents/PlugIns/ShortcutsWidgetExtension.appex/Contents/MacOS/ShortcutsWidgetExtension
 1506     1   0.0   1936 /System/Volumes/Preboot/Cryptexes/App/System/Applications/Safari.app/Contents/Extensions/SafariWidgetExtension.appex/Contents/MacOS/SafariWidgetExtension
 1509     1   0.0   1888 /System/Library/CoreServices/WindowManager.app/Contents/PlugIns/WindowManagerControlsExtension.appex/Contents/MacOS/WindowManagerControlsExtension
 1515     1   0.0   1648 /System/Library/CoreServices/Dock.app/Contents/PlugIns/DockControls.appex/Contents/MacOS/DockControls
 1516     1   0.0   4832 /System/Library/PrivateFrameworks/UserActivity.framework/Agents/useractivityd
 1517     1   0.0   1632 /System/Library/PrivateFrameworks/MediaRemote.framework/Support/mediaremoteagent
 1518     1   0.0   3824 /usr/libexec/avconferenced
 1520     1   0.0   4288 /System/Library/PrivateFrameworks/PassKitCore.framework/passd
 1527     1   0.0   4768 /System/Applications/Stocks.app/Contents/PlugIns/StocksWidget.appex/Contents/MacOS/StocksWidget
 1531     1   0.0   4784 /System/Applications/Journal.app/Contents/PlugIns/JournalWidgetsSecure.appex/Contents/MacOS/JournalWidgetsSecure
 1535     1   0.0   4384 /System/Applications/VoiceMemos.app/Contents/PlugIns/VoiceMemosSettingsWidgetExtension.appex/Contents/MacOS/VoiceMemosSettingsWidgetExtension
 1536     1   0.0   4752 /System/Applications/Home.app/Contents/PlugIns/HomeWidget.appex/Contents/MacOS/HomeWidget
 1537     1   0.0   4752 /System/Applications/FindMy.app/Contents/PlugIns/FindMyWidgetPeople.appex/Contents/MacOS/FindMyWidgetPeople
